Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access
084-629-427-858-563,"Pulmonary rehabilitation referral and participation are commonly influenced by environment, knowledge, and beliefs about consequences: a systematic review using the Theoretical Domains Framework",2017,journal article,Journal of physiotherapy,Elsevier BV,Australia,Narelle S Cox; Cristino Carneiro Oliveira; Aroub Lahham; Anne E Holland,"Abstract Question What are the barriers and enablers of referral, uptake, attendance and completion of pulmonary rehabilitation for people with chronic obstructive pulmonary disease (COPD)? Design Systematic review of qualitative or quantitative studies reporting data relating to referral, uptake, attendance and/or completion in pulmonary rehabilitation. Participants People aged >18years with a diagnosis of COPD and/or their healthcare professionals. Data extraction and analysis Data were extracted regarding the nature of barriers and enablers of pulmonary rehabilitation referral and participation. Extracted data items were mapped to the Theoretical Domains Framework (TDF). Results A total of 6969 references were screened, with 48 studies included and 369 relevant items mapped to the TDF. The most frequently represented domain was ‘Environment' (33/48 included studies, 37% of mapped items), which included items such as waiting time, burden of illness, travel, transport and health system resources. Other frequently represented domains were ‘Knowledge' (18/48 studies, including items such as clinician knowledge of referral processes, patient understanding of rehabilitation content) and ‘Beliefs about consequences' (15/48 studies, including items such as beliefs regarding role and safety of exercise, expectations of rehabilitation outcomes). Barriers to referral, uptake, attendance or completion represented 71% (n=183) of items mapped to the TDF. All domains of the TDF were represented; however, items were least frequently coded to the domains of ‘Optimism' and ‘Memory'. The methodological quality of included studies was fair (mean quality score 9/12, SD 2). Conclusion Many factors – particularly those related to environment, knowledge, attitudes and behaviours – interact to influence referral, uptake, attendance and completion of pulmonary rehabilitation. Overcoming the challenges associated with the personal and/or healthcare system environment will be imperative to improving access and uptake of pulmonary rehabilitation. Trial registration PROSPERO CRD42015015976. [Cox NS, Oliveira CC, Lahham A, Holland AE (2017) Pulmonary rehabilitation referral and participation are commonly influenced by environment, knowledge, and beliefs about consequences: a systematic review using the Theoretical Domains Framework. Journal of Physiotherapy 63: 84–93]",Physical therapy; Optimism; Referral; COPD; Data extraction; Attendance; Rehabilitation; Quality Score; Pulmonary rehabilitation; Medicine,Barriers; Chronic obstructive pulmonary disease (COPD); Facilitators; Participation; Pulmonary rehabilitation,"Health Knowledge, Attitudes, Practice; Health Services Accessibility/statistics & numerical data; Humans; Patient Acceptance of Health Care/psychology; Patient Participation/psychology; Pulmonary Disease, Chronic Obstructive/psychology; Qualitative Research; Quality of Life; Referral and Consultation/statistics & numerical data; Transportation/statistics & numerical data",10.1016/j.jphys.2017.02.002,true
086-447-566-704-682,Does spending on refugees make a difference? A cross-sectional study of the association between refugee program spending and health outcomes in 70 sites in 17 countries.,2016,journal article,Conflict and health,Springer Science and Business Media LLC,United Kingdom,Timothy M. Tan; Paul Spiegel; Christopher Haskew; P. Gregg Greenough,"Numerous simultaneous complex humanitarian emergencies strain the ability of local governments and the international community to respond, underscoring the importance of cost-effective use of limited resources. At the end of 2011, 42.5 million people were forcibly displaced, including 10.4 million refugees under the mandate of the United Nations High Commissioner for Refugees (UNHCR). UNHCR spent US$1.65 billion on refugee programs in 2011. We analyze the impact of aggregate-level UNHCR spending on mortality of refugee populations. Using 2011 budget data, we calculated purchasing power parity adjusted spending, disaggregated by population planning groups (PPGs) and UNHCR Results Framework objectives. Monthly mortality reported to UNHCR’s Health Information System from 2011 to 2012 was used to calculate crude (CMR) and under-5 (U5MR) mortality rates, and expressed as ratios to country of asylum mortality. Log-linear regressions were performed to assess correlation between spending and mortality. Mortality data for 70 refugee sites representing 1.6 million refugees in 17 countries were matched to 20 PPGs. Median 2011 spending was $623.27 per person (constant 2011 US$). Median CMR was 2.4 deaths per 1,000 persons per year; median U5MR was 18.1 under-5 deaths per 1,000 live births per year. CMR was negatively correlated with total spending (p = 0.027), and spending for fair protection processes and documentation (p = 0.005), external relations (p = 0.034), logistics and operations support (p = 0.007), and for healthcare (p = 0.046). U5MR ratio was negatively correlated with total spending (p = 0.015), and spending for favorable protection environment (p = 0.024), fair protection processes and documentation (p = 0.003), basic needs and essential services (p = 0.027), and within basic needs, for healthcare services (p = 0.007). Increased UNHCR spending on refugee populations is correlated with lower mortality, likely reflecting unique refugee vulnerabilities and dependence on aid. Future analyses using more granular data can further elucidate the health impact of humanitarian sector spending, thereby guiding policy choices.",Public health; Internally displaced person; Health care; Refugee; Mortality rate; Basic needs; Health services research; Population; Medicine; Environmental health,Health information system; Health spending; Mortality; Refugees,,10.1186/s13031-016-0095-4,true
087-239-420-052-87X,Associations between CES1 variants and dosing and adverse effects in children taking methylphenidate.,2023,journal article,Frontiers in pediatrics,Frontiers Media SA,Switzerland,Jacob T Brown; Nancy Beery; Allise Taran; Tyler Stevens; Christine Henzler; Jonathan Badalamenti; Ron Regal; Catherine A McCarty,"<AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">Methylphenidate is the most prescribed stimulant to treat attention deficit-hyperactivity disorder (ADHD). Despite its widespread usage, a fair proportion of children are classified as non-responders to the medication. Variability in response and occurrence of adverse events with methylphenidate use may be due to several factors, including drug-drug interactions as well as pharmacogenetic differences resulting in pharmacokinetic and/or pharmacodynamic variances within the general population. The objective of this study was to analyze the effect of carboxylesterase 1 (<i>CES1</i>) variants on the frequency of adverse effects and dosing requirements of methylphenidate in children with ADHD.</AbstractText>;           <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">This was a retrospective cohort study of children and adolescents who met the inclusion criteria and had a routine visit during the enrollment period were invited to participate. Inclusion criteria included: ADHD diagnosis by a healthcare provider, between 6 and 16 years of age at the time of permission/assent, had not previously been prescribed methylphenidate, and treatment with any methylphenidate formulation for at least three consecutive months. Three months of records were reviewed in order to assess changes in dose and frequency of discontinuing methylphenidate. Participants' ADHD symptoms, medication response, adverse effects, select vitals, and dose were extracted from the electronic health record. Saliva samples were collected by trained study coordinators. Haplotypes were assigned based on copy number in different portions of the CES1 gene. Due to limited numbers, diplotypes (combinations of two haplotypes) were grouped for analysis as CES1A1/CES1A1, CES1A1/CES1A1c and CES1A1c/CES1A1c.</AbstractText>;           <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">A total of 99 participants (<i>n</i> = 30 female; <i>n</i> = 69 male) had both clinical data and <i>CES1</i> sequencing data, with an average age of 7.7 years old (range 3-15 years). The final weight-based dose in all individuals was 0.79 mg/kg/day. The most common adverse effects reported were decreased appetite (<i>n</i> = 47), weight loss (<i>n</i> = 24), and sleep problems (<i>n</i> = 19). The mean final weight-based dose by haplotype was 0.92 mg/kg for CES1A2/CES1A2, 0.81 mg/kg for CES1A2/CES1P1, and 0.78 mg/kg for CES1P1/CES1P1. After correction for multiple hypothesis testing, only one SNV, rs114119971, was significantly associated with weight-based dosing in two individuals. The individuals with the rs114119971 SNV had a significantly lower weight-based dose (0.42 mg/kg) as compared to those without (0.88 mg/kg; <i>p</i> &lt; 0.001).</AbstractText>;           <AbstractText Label=""Discussion"" NlmCategory=""UNASSIGNED"">Variation in CES1 activity may impact dose requirements in children who are prescribed methylphenidate, as well as other CES1 substrates. Although intriguing, this study is limited by the retrospective nature and relatively small sample size.</AbstractText>;           <CopyrightInformation>© 2023 Brown, Beery, Taran, Stevens, Henzler, Badalamenti, Regal and McCarty.</CopyrightInformation>",Methylphenidate; Medicine; Dosing; Adverse effect; Stimulant; Pharmacogenetics; Population; Attention deficit hyperactivity disorder; Pharmacogenomics; Pediatrics; Psychiatry; Pharmacology; Genotype; Biochemistry; Chemistry; Environmental health; Gene,ADHD; CES1; methylphenidate; pediatrics; pharmacogenetics,,10.3389/fped.2022.958622,true
087-564-389-449-527,Cost Effectiveness of Allogeneic Umbilical Cord Blood-Derived Mesenchymal Stem Cells in Patients with Knee Osteoarthritis.,2022,journal article,Applied health economics and health policy,Springer Science and Business Media LLC,New Zealand,Kangho Suh; Brian J Cole; Andreas Gomoll; Seung-Mi Lee; Hangseok Choi; Chul-Won Ha; Hong Chul Lim; Myung Ku Kim; Gwi-Yeom Ha; Dong-Churl Suh,"<AbstractText Label=""OBJECTIVES"">The aim of this study was to assess the cost effectiveness of allogeneic umbilical cord blood-derived mesenchymal stem cells with sodium hyaluronate (hUCB-MSC) compared with microfracture in patients with knee cartilage defects caused by osteoarthritis (OA) in South Korea.</AbstractText>;           <AbstractText Label=""METHODS"">A partitioned survival model approach was taken consisting of five mutually exclusive health states: excellent, good, fair, poor, and death over a 20-year time horizon. Utility values were obtained from a randomized clinical trial. Cost data were extracted from a database provided by the Health Insurance Review &amp; Assessment Service, and the utilization of healthcare services was estimated from an expert panel of orthopedic surgeons using a structured questionnaire. The incremental cost-effectiveness ratio (ICER) in terms of quality-adjusted life-years (QALY) was calculated. Deterministic and probabilistic sensitivity analyses were performed.</AbstractText>;           <AbstractText Label=""RESULTS"">In the base case, the incremental costs of US$14,410 for hUCB-MSC therapy along with its associated QALY gain of 0.857 resulted in an ICER of US$16,812 (₩18,790,773) per QALY (95% confidence interval [CI] US$13,408-US$20,828) when compared with microfracture treatment from a healthcare payer perspective. From a societal perspective, the ICER was US$268 (₩299,255) per QALY (95% CI -US$2915 to US$3784). When using a willingness-to-pay threshold of US$22,367/QALY, the probability of hUCB being cost effectiveness compared with microfracture was 99% from the healthcare payer perspective and 100% from the societal perspective.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">The study demonstrated that hUCB-MSC therapy was cost effective compared with microfracture when treating patients with knee OA. These findings should inform health policy decision makers about considerations for cost-effective therapy for treating knee OA to ultimately enhance population health.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s), under exclusive licence to Springer Nature Switzerland AG.</CopyrightInformation>",Medicine; Umbilical cord; Confidence interval; Cost effectiveness; Quality-adjusted life year; Health economics; Physical therapy; Surgery; Internal medicine; Public health; Pathology; Immunology; Risk analysis (engineering),,"Humans; Osteoarthritis, Knee/therapy; Cost-Effectiveness Analysis; Fetal Blood; Fractures, Stress; Cost-Benefit Analysis; Mesenchymal Stem Cells; Hematopoietic Stem Cell Transplantation; Quality-Adjusted Life Years",10.1007/s40258-022-00762-9,true
087-715-433-949-752,Assessment of Appropriateness of Antimicrobial Therapy in Resource-Constrained Settings: Development and Piloting of a Novel Tool-AmRAT.,2021,journal article,"Antibiotics (Basel, Switzerland)",Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Ashish Kumar Kakkar; Nusrat Shafiq; Neeru Sahni; Ritin Mohindra; Navjot Kaur; Nanda Gamad; Aditi Panditrao; Dimple Kondal; Samir Malhotra; Praveen Kumar M; Rachna Rohilla; Samiksha Bhattacharjee; Ankit Kumar; Ritika Kondel Bhandari; Avaneesh Kumar Pandey; Imraan I G Rather; Chakrant Mothsara; Cvn Harish; Devaraj Belavagi; Gopal Vishwas,"Inappropriate antimicrobial prescribing is considered to be the leading cause of high burden of antimicrobial resistance (AMR) in resource-constrained lower- and middle-income countries. Under its global action plan, the World Health Organization has envisaged tackling the AMR threat through promotion of rational antibiotic use among prescribers. Given the lack of consensus definitions and other associated challenges, we sought to devise and validate an Antimicrobial Rationality Assessment Tool-AmRAT-for standardizing the assessment of appropriateness of antimicrobial prescribing. A consensus algorithm was developed by a multidisciplinary team consisting of intensivists, internal medicine practitioners, clinical pharmacologists, and infectious disease experts. The tool was piloted by 10 raters belonging to three groups of antimicrobial stewardship (AMS) personnel: Master of Pharmacology (M.Sc.) (n = 3, group A), Doctor of Medicine (MD) residents (n = 3, group B), and DM residents in clinical pharmacology (n = 4, group C) using retrospective patient data from 30 audit and feedback forms collected as part of an existing AMS program. Percentage agreement and the kappa (κ) coefficients were used to measure inter-rater agreements amongst themselves and with expert opinion. Sensitivity and specificity estimates were analyzed comparing their assessments against the gold standard. For the overall assessment of rationality, the mean percent agreement with experts was 76.7% for group A, 68.9% for group B, and 77.5% for group C. The kappa values indicated moderate agreement for all raters in group A (κ 0.47-0.57), and fair to moderate in group B (κ 0.22-0.46) as well as group C (κ 0.37-0.60). Sensitivity and specificity for the same were 80% and 68.6%, respectively. Though evaluated by raters with diverse educational background and variable AMS experience in this pilot study, our tool demonstrated high percent agreement and good sensitivity and specificity, assuring confidence in its utility for assessing appropriateness of antimicrobial prescriptions in resource-constrained healthcare environments.",Health care; Medical prescription; Antimicrobial stewardship; Kappa; Resource constrained; Gold standard (test); Antimicrobial; Family medicine; Clinical pharmacology; Medicine,antimicrobial prescribing; antimicrobial stewardship; appropriateness of antimicrobial therapy; lower- and middle-income countries,,10.3390/antibiotics10020200,true
087-727-489-877-813,Considerations for the implementation of machine learning into acute care settings.,2022,journal article,British medical bulletin,Oxford University Press (OUP),United Kingdom,Andrew Bishara; Elijah H Maze; Mervyn Maze,"<AbstractText Label=""INTRODUCTION"">Management of patients in the acute care setting requires accurate diagnosis and rapid initiation of validated treatments; therefore, this setting is likely to be an environment in which cognitive augmentation of the clinician's provision of care with technology rooted in artificial intelligence, such as machine learning (ML), is likely to eventuate.</AbstractText>;           <AbstractText Label=""SOURCES OF DATA"">PubMed and Google Scholar with search terms that included ML, intensive/critical care unit, electronic health records (EHR), anesthesia information management systems and clinical decision support were the primary sources for this report.</AbstractText>;           <AbstractText Label=""AREAS OF AGREEMENT"">Different categories of learning of large clinical datasets, often contained in EHRs, are used for training in ML. Supervised learning uses algorithm-based models, including support vector machines, to pair patients' attributes with an expected outcome. Unsupervised learning uses clustering algorithms to define to which disease grouping a patient's attributes most closely approximates. Reinforcement learning algorithms use ongoing environmental feedback to deterministically pursue likely patient outcome.</AbstractText>;           <AbstractText Label=""AREAS OF CONTROVERSY"">Application of ML can result in undesirable outcomes over concerns related to fairness, transparency, privacy and accountability. Whether these ML technologies irrevocably change the healthcare workforce remains unresolved.</AbstractText>;           <AbstractText Label=""GROWING POINTS"">Well-resourced Learning Health Systems are likely to exploit ML technology to gain the fullest benefits for their patients. How these clinical advantages can be extended to patients in health systems that are neither well-endowed, nor have the necessary data gathering technologies, needs to be urgently addressed to avoid further disparities in healthcare.</AbstractText>;           <CopyrightInformation>© The Author(s) 2022. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com.</CopyrightInformation>",Machine learning; Artificial intelligence; Health care; Transparency (behavior); Clinical decision support system; Workforce; Cluster analysis; Computer science; Accountability; Outcome (game theory); Exploit; Decision support system; Knowledge management; Medicine; Computer security; Mathematics; Mathematical economics; Political science; Law; Economics; Economic growth,acute care; algorithms; machine learning,Algorithms; Artificial Intelligence; Critical Care; Electronic Health Records; Humans; Machine Learning,10.1093/bmb/ldac001,true
088-278-218-961-04X,Formative Usability Evaluation of a Three-Way Digital Healthcare System for the People with Disabilities and Their Caregivers: A Cross-Sectional Study.,2022,journal article,"Healthcare (Basel, Switzerland)",,Switzerland,Ju Hee Kim; Young-Hyeon Bae; Sung Shin Kim; Minyoung Lee; Seung Hee Ho,"During the COVID-19 pandemic, there was a growing awareness about the importance of building a health and safety net based on digital healthcare systems, such as ICT-based local community online services and patient monitoring technology. This study was conducted with the aim of evaluating the formative usability of a three-way digital healthcare system, which had been developed to build a health and safety net for people with disabilities and deriving the directions for system improvement in order for them to be used as basic data for further system enhancement. A formative usability evaluation of a three-way digital healthcare system was performed with the participation of 43 healthcare professionals, using the 10-item System Usability Scale (SUS) and five items for satisfaction evaluation. Each item was rated on a five-point Likert scale, with the result converted to a scale of 100. Analysis was performed using the average score and the acceptable system usability level. The overall mean SUS score was 62.4, which corresponds to Grade D according to the SUS grading scale, and the below-average items were complexity (Q2), convenience (Q8), simplicity (Q3), professionalism (technician support, prior learning) (Q4, Q10), and learnability (Q7). The overall mean user satisfaction was 71.2 points, where overall satisfaction, system architecture and understandability, and continuous use intention were marked with below-average scores. The SUS D grade is interpreted as ""fair"" and the water solubility is ""almost acceptable"". For the usability enhancement of the newly developed a three-way digital healthcare system, the overall direction for system architecture improvement was analyzed centering on complexity (Q2), convenience (Q8), professionalism (technician support, prior learning) (Q4, Q10), learnability (Q7), and simplicity (Q3). Efforts need to be directed at enhancing system satisfaction and continuance rate by deriving detailed system improvement strategies and achieving system enhancement to reflect the opinions of not only experts but also users.",Usability; Formative assessment; Likert scale; System usability scale; Learnability; Health care; Scale (ratio); Digital health; Computer science; Psychology; Multimedia; Heuristic evaluation; Human–computer interaction; Pedagogy; Developmental psychology; Physics; Quantum mechanics; Economics; Economic growth,caregivers; formative; people with disabilities; three-way digital healthcare system; usability evaluation,,10.3390/healthcare10112325,true
088-620-581-399-398,Rehabilitation at the Time of Pandemic: Patient Journey Recommendations.,2022,journal article,Frontiers in aging neuroscience,Frontiers Media SA,Switzerland,Ahmed M Negm; Adrian Salopek; Mashal Zaide; Victoria J Meng; Carlos Prada; Yaping Chang; Preeti Zanwar; Flavia H Santos; Elena Philippou; Emily R Rosario; Julie Faieta; Shanti M Pinto; Jason R Falvey; Amit Kumar; Timothy A Reistetter; Vanina Dal Bello-Haas; Mohit Bhandari; Jonathan F Bean; Patricia C Heyn,"<AbstractText Label=""Purpose"" NlmCategory=""UNASSIGNED"">The World Health Organization (WHO) declared severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) a pandemic in March 2020, causing almost 3.5 million coronavirus disease (COVID-19) related deaths worldwide. The COVID-19 pandemic has imposed a significant burden on healthcare systems, economies, and social systems in many countries around the world. The access and delivery of rehabilitation care were severely disrupted, and patients have faced several challenges during the COVID-19 outbreak. These challenges include addressing new functional impairments faced by survivors of COVID-19 and infection prevention to avoid the virus spread to healthcare workers and other patients not infected with COVID-19. In this scoping review, we aim to develop rehabilitation recommendations during the COVID-19 pandemic across the continuum of rehabilitation care.</AbstractText>;           <AbstractText Label=""Materials and Methods"" NlmCategory=""UNASSIGNED"">Established frameworks were used to guide the scoping review methodology. Medline, Embase, Pubmed, CINAHL databases from inception to August 1, 2020, and prominent rehabilitation organizations' websites were searched.</AbstractText>;           <AbstractText Label=""Study Selection"" NlmCategory=""UNASSIGNED"">We included articles and reports if they were focused on rehabilitation recommendations for COVID-19 survivors or the general population at the time of the COVID-19 pandemic.</AbstractText>;           <AbstractText Label=""Data Extraction"" NlmCategory=""UNASSIGNED"">Two of our team members used the pre-tested data extraction form to extract data from included full-text articles. The strength and the quality of the extracted recommendations were evaluated by two reviewers using the GRADE (Grading of Recommendations, Assessment, Development and Evaluation) approach.</AbstractText>;           <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">We retrieved 6,468 citations, of which 2,086 were eligible after removing duplicates. We excluded 1,980 citations based on the title and the abstract. Of the screened full-text articles, we included 106 studies. We present recommendations based on the patient journey at the time of the pandemic. We assessed the evidence to be of overall fair quality and strong for the recommendations.</AbstractText>;           <AbstractText Label=""Conclusion"" NlmCategory=""UNASSIGNED"">We have combined the latest research results and accumulated expert opinions on rehabilitation to develop acute and post-acute rehabilitation recommendations in response to the global COVID-19 pandemic. Further updates are warranted in order to incorporate the emerging evidence into rehabilitation guidelines.</AbstractText>;           <CopyrightInformation>Copyright © 2022 Negm, Salopek, Zaide, Meng, Prada, Chang, Zanwar, Santos, Philippou, Rosario, Faieta, Pinto, Falvey, Kumar, Reistetter, Dal Bello-Haas, Bhandari, Bean and Heyn.</CopyrightInformation>",CINAHL; Pandemic; Rehabilitation; Medicine; Health care; MEDLINE; Data extraction; Population; Grading (engineering); Coronavirus disease 2019 (COVID-19); Family medicine; Physical therapy; Disease; Nursing; Environmental health; Infectious disease (medical specialty); Psychological intervention; Political science; Pathology; Civil engineering; Engineering; Law,COVID-19; GRADE; ICU rehabilitation; occupational therapy; pandemic; physiotherapy; rehabilitation; scoping review,,10.3389/fnagi.2022.781226,true
089-186-689-564-727,Psychosocial distress and the quality of life of cancer patients in two health facilities in Cameroon.,2022,journal article,BMC palliative care,Springer Science and Business Media LLC,United Kingdom,Bachi-Ayukokang Ebob-Anya; Nahyeni Bassah,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Psychosocial distress interferes with the ability to cope effectively with cancer, its physical symptoms and treatment. This in turn leads to poor outcomes in patients.</AbstractText>;           <AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">The aim of this study was to assess the level of psychosocial distress, emotional distress and the quality of life of cancer patients in two health facilities in Cameroon.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">This study used a cross-sectional hospital-based design. The study was carried out over a period of three months from July-September 2020. The sample size was 120 cancer patients. A consecutive sampling technique was used to select participants. Three validated questionnaires were used: DT, HADS and EORTC QLQ-C30 to assess, psychosocial distress, emotional distress and quality of life respectively. Results were presented using descriptive (frequency, percentage, mean) and inferential statistics (Chi square, Pearson's correlation, ANOVA). Data were analysed with SPSS version 21. All statistics were considered significant at an alpha value set at 0.05 level.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The majority of patients 83 (69.2%) presented with clinically significant distress, with financial difficulties 87 (72.5%), fatigue 83 (69.2%), transportation 73 (60.8%) and difficulties with work/school 69(57.5%) being the most reported problems. Fifty nine (50.0%) and 56(47.5%) had moderate to severe anxiety and depression symptoms respectively. Overall on HADS, 67 patients (56.8%) presented with emotional distress. The quality of life was fair, with a mean of 52.4 ± 21.3.There was a statistically significant negative relationship (P &lt; 0.0001), between psychosocial distress and quality of life of patients.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Cancer patients suffer from psychosocial distress, which has a negative relationship on their quality of life. It is important that healthcare professionals working in these settings, assess psychosocial distress early in patients with cancer to improve the quality of care and enhance quality of life.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Psychosocial; Medicine; Distress; Quality of life (healthcare); Anxiety; Hospital Anxiety and Depression Scale; Depression (economics); Clinical psychology; Physical therapy; Psychiatry; Nursing; Economics; Macroeconomics,Cameroon; Cancer; Distress; Quality of life,Cameroon; Cross-Sectional Studies; Health Facilities; Humans; Neoplasms/complications; Quality of Life/psychology,10.1186/s12904-022-00981-w,true
089-261-487-134-099,PREFACE,2021,journal article,History of science and technology,State University of Infrastructure and Technologies,,Oleh Pylypchuk; Oleh Strelko; Yuliia Berdnychenko,"<jats:p>In the new issue, our scientific journal offers you thirteen scientific articles. As always, we try to offer a wide variety of topics and areas and follow current trends in the history of science and technology.; ; In the article by Olha Chumachenko, оn the basis of a wide base of sources, the article highlights and analyzes the development of research work of aircraft engine companies in Zaporizhzhia during the 1970s. The existence of a single system of functioning of the Zaporizhzhia production association “Motorobudivnyk” (now the Public Joint Stock Company “Motor Sich”) and the Zaporizhzhia Machine-Building Design Bureau “Progress” (now the State Enterprise “Ivchenko – Progress”) has been taken into account.; ; Leonid Griffen and Nadiia Ryzheva present their vision of the essence of technology as a socio-historical phenomenon. The article reveals the authors' vision of the essence of the technology as a sociohistorical phenomenon. It is based on the idea that technology is not only a set of technical devices but a segment of the general system – a society – located between a social medium and its natural surroundings in the form of a peculiar social technosphere, which simultaneously separates and connects them.; ; Definitely the article by Denis Kislov, which examines the period from the end of the XVII century to the beginning of the XIX century, is also of interest, when on the basis of deep philosophical concepts, a new vision of the development of statehood and human values raised. At this time, a certain re-thinking of the management and communication ideas of Antiquity and the Renaissance took place, which outlined the main promising trends in the statehood evolution, which to one degree or another were embodied in practice in the 19th and 20th centuries. A systematic approach and a comparative analysis of the causes and consequences of those years’ achievements for the present and the immediate future of the 21st century served as the methodological basis for a comprehensive review of the studies of that period.; ; The article by Serhii Paliienko is devoted to an exploration of archaeological theory issues at the Institute of archaeology AS UkrSSR in the 1960s. This period is one of the worst studied in the history of Soviet archaeology. But it was the time when in the USSR archaeological researches reached the summit, quantitative methods and methods of natural sciences were applied and interest in theoretical issues had grown in archaeology. Now there are a lot of publications dedicated to theoretical discussions between archaeologists from Leningrad but the same researches about Kyiv scholars are still unknown; ; The legacy of St. Luke in medical science, authors from Greece - this study aims to highlight key elements of the life of Valentyn Feliksovych Voino-Yasenetskyi and his scientific contribution to medicine.; ; Among the scientists of European greatness, who at the turn of the XIX and XX centuries showed interest to the folklore of Galicia (Halychyna) and Galician Ukrainians, contributed to their national and cultural revival, one of the leading places is occupied by the outstanding Ukrainian scientist Ivan Verkhratskyi. He was both naturalist and philologist, as well as folklorist and ethnographer, organizer of scientific work, publisher and popularizer of Ukrainian literature, translator, publicist and famous public figure. I. H. Verkhratskyi was also an outstanding researcher of plants and animals of Eastern Galicia, a connoisseur of insects, especially butterflies, the author of the first school textbooks on natural science written in Ukrainian.; ; A new emerging field that has seen the application of the drone technology is the healthcare sector. Over the years, the health sector has increasingly relied on the device for timely transportation of essential articles across the globe. Since its introduction in health, scholars have attempted to address the impact of drones on healthcare across Africa and the world at large. Among other things, it has been reported by scholars that the device has the ability to overcome the menace of weather constraints, inadequate personnel and inaccessible roads within the healthcare sector. This notwithstanding, data on drones and drone application in Ghana and her healthcare sector in particular appears to be little within the drone literature. Also, little attempt has been made by scholars to highlight the use of drones in African countries. By using a narrative review approach, the current study attempts to address the gap above. By this approach, a thorough literature search was performed to locate and assess scientific materials involving the application of drones in the military field and in the medical systems of Africans and Ghanaians in particular.; ; The paper by Artemii Bernatskyi and Vladyslav Khaskin is devoted to the analysis of the history of the laser creation as one of the greatest technical inventions of the 20th century. This paper focuses on establishing a relation between the periodization of the stages of creation and implementation of certain types of lasers, with their influence on the invention of certain types of equipment and industrial technologies for processing the materials, the development of certain branches of the economy, and scientific-technological progress as a whole. The paper discusses the stages of: invention of the first laser; creation of the first commercial lasers; development of the first applications of lasers in industrial technologies for processing the materials. Special attention is paid to the “patent wars” that accompanied different stages of the creation of lasers. A comparative analysis of the market development for laser technology from the stage of creation to the present has been carried out.; ; Nineteenth-century world exhibitions were platforms to demonstrate technical and technological changes that witnessed the modernization and industrialization of the world. World exhibitions have contributed to the promotion of new inventions and the popularization of already known, as well as the emergence of art objects of world importance. One of the most important world events at the turn of the century was the 1900 World's Fair in Paris. Thus, the author has tried to analyze the participation of representatives of the sugar industry in the World's Fair in 1900 and to define the role of exhibitions as indicators of economic development, to show the importance and influence of private entrepreneurs, especially from Ukraine, on the sugar industry and international contacts.; ; The article by Viktor Verhunov highlights the life and creative path of the outstanding domestic scientist, theorist, methodologist and practitioner of agricultural engineering K. G. Schindler, associated with the formation of agricultural mechanics in Ukraine. The methodological foundation of the research is the principles of historicism, scientific nature and objectivity in reproducing the phenomena of the past based on the complex use of general scientific, special, interdisciplinary methods. For the first time a number of documents from Russian and Ukrainian archives, which reflect some facts of the professional biography of the scientist, were introduced into scientific circulation.; ; The authors from Kremenchuk National University named after Mykhailo Ostrohradskyi presented a fascinating study of a bayonet fragment with severe damages of metal found in the city Kremenchuk (Ukraine) in one of the canals on the outskirts of the city, near the Dnipro River. Theoretical research to study blade weapons of the World War I period and the typology of the bayonets of that period, which made it possible to put forward an assumption about the possible identification of the object as a modified bayonet to the Mauser rifle has been carried out. Metal science expert examination was based on X-ray fluorescence spectrometry to determine the concentration of elements in the sample from the cleaned part of the blade.; ; In the article by Mykola Ruban and Vadym Ponomarenko on the basis of the complex analysis of sources and scientific literature the attempt to investigate historical circumstances of development and construction of shunting electric locomotives at the Dnipropetrovsk electric locomotive plant has been made.; ; The next scientific article continues the series of publications devoted to the assessment of activities of the heads of the Ministry of Railways of the Russian Empire. In this article, the authors have attempted to systematize and analyze historical data on the activities of Klavdii Semyonovych Nemeshaev as the Minister of Railways of the Russian Empire. The article also assesses the development and construction of railway network in the Russian Empire during Nemeshaev's office, in particular, of the Amur Line and Moscow Encircle Railway, as well as the increase in the capacity of the Trans-Siberian Railway. The article discusses K. S. Nemeshaev's contribution to the development of technology and the introduction of a new type of freight steam locomotive for state-owned railways.; ; We hope that everyone will find interesting useful information in the new issue. And, of course, we welcome your new submissions.</jats:p>",Philosophy,,,10.32703/2415-7422-2021-11-1-7-9,true
